test,approach,tfft,totaltime,comp
Q9.rq,NotAdaptive,0.371083974838,10.5927917957,5151
Q9.rq,Random,0.332649946213,9.3035569191,5151
Q9.rq,Selective,0.241630077362,12.2099769115,5151
